algorithm,function,dim,best,mean,std,worst,success_rate_percent,mean_time_sec
GWO_hybrid0.3,Rastrigin,10,3.9748314861753897e-07,1.4454392712082153e-06,5.696097184680083e-07,2.174909923269297e-06,100.0,4.098822470009327
GWO_hybrid0.3,Rastrigin,30,5.113474577456145e-05,7.456391685991547e-05,1.4635636626506445e-05,9.501723354787828e-05,100.0,4.453550119989086
GWO_hybrid0.3,Rastrigin,50,0.0002447677364898482,0.0005232383863813083,0.00015064264243809248,0.0007946926749582417,100.0,4.4307099199970255
GWO_hybrid0.3,Styblinski-Tang,10,-363.38767073004686,-336.01271673581914,18.61631501778267,-302.45272302826135,0.0,4.377739930001553
GWO_hybrid0.3,Styblinski-Tang,30,-760.3866621955831,-623.297055616002,67.02639352670168,-516.436638163796,0.0,4.579316910007037
GWO_hybrid0.3,Styblinski-Tang,50,-1146.2499409367495,-970.5403252497008,94.24024144164223,-843.8046199667284,0.0,4.6953307400108315
GWO_hybrid0.3,Ackley,10,6.846846698183029e-05,9.633855328141649e-05,1.542368217414661e-05,0.00011984324924840806,100.0,4.594308180001098
GWO_hybrid0.3,Ackley,30,0.0003039710544467944,0.0004133895976072388,8.807201898821609e-05,0.000634681338663956,100.0,4.74561876001535
GWO_hybrid0.3,Ackley,50,0.0007168449187564541,0.0008883623537561114,0.0001270955486074883,0.0010949300264475603,100.0,4.809861450002063
GWO_hybrid0.3,Griewank,10,1.038342634096523e-09,0.006558940771755317,0.012091262682951858,0.041141731949026594,90.0,4.638182780018542
GWO_hybrid0.3,Griewank,30,4.864253433378707e-08,7.541678161970822e-08,2.2226578856155653e-08,1.1893622009484517e-07,100.0,4.620907300023828
GWO_hybrid0.3,Griewank,50,2.544710674401429e-07,5.041015238238522e-07,1.4034702226652107e-07,7.41166434115037e-07,100.0,4.705006119981408
