Algorithm,Dim,Best,Mean,Worst,Std,SuccessRate
Original GWO,10,0.000000,0.005680,0.009284,0.003747,100.0
Original GWO,30,0.000000,0.005277,0.043003,0.012908,90.0
Original GWO,50,0.000000,0.006014,0.046588,0.014115,80.0
PSO,10,0.000000,0.068197,0.422555,0.138562,80.0
PSO,30,0.000000,0.004101,0.041013,0.012304,90.0
PSO,50,0.000005,0.000026,0.000058,0.000016,100.0
HPRO,10,0.000000,0.020931,0.043853,0.019644,50.0
HPRO,30,0.000000,0.002410,0.012157,0.004820,80.0
HPRO,50,0.000000,0.000000,0.000001,0.000000,100.0
