Algorithm,Dim,Best,Mean,Worst,Std,SuccessRate
Original GWO,10,0.000000,0.000001,0.000001,0.000000,100.0
Original GWO,30,0.000010,0.000017,0.000030,0.000006,100.0
Original GWO,50,0.000063,0.000110,0.000155,0.000024,100.0
PSO,10,2.984877,7.561683,11.939499,3.056964,0.0
PSO,30,34.823531,45.768110,57.707587,7.603474,0.0
PSO,50,47.926470,85.593499,128.599,24.271429,0.0
HPRO,10,0.000000,0.000001,0.000002,0.000000,100.0
HPRO,30,0.000043,0.000071,0.000103,0.000015,100.0
HPRO,50,0.000318,0.000550,0.000857,0.000182,100.0
