Algorithm,Dim,Best,Mean,Worst,Std,SuccessRate
Original GWO,10,-391.661,-369.930,-338.579,17.924512,20.0
Original GWO,30,-1029.091,-768.487,-673.683,96.812988,0.0
Original GWO,50,-1181.079,-1051.827,-848.305,98.184439,0.0
PSO,10,-363.388,-342.183,-306.841,15.805332,0.0
PSO,30,-1061.891,-1015.240,-977.071,26.105130,0.0
PSO,50,-1732.117,-1675.563,-1604.883,37.402052,0.0
HPRO,10,-391.660,-336.003,-305.515,27.108748,10.0
HPRO,30,-823.213,-687.036,-587.071,73.467231,0.0
HPRO,50,-1282.629,-998.261,-836.043,148.066,0.0
